                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78917,                0.52092,                 1.1625,                0.95555,                0.93097,                0.97452,                0.76324,                0.81242,                0.41967,                 1.2128,              0.0006536,              0.0006536,              0.0006536
                     36,                0.77463,                0.50709,                 1.1369,                 0.9637,                0.94063,                0.97438,                0.76941,                0.80914,                0.40488,                 1.2337,               0.000614,               0.000614,               0.000614
                     37,                  0.762,                0.49041,                 1.1538,                 0.9673,                0.93172,                0.96955,                0.79033,                0.80724,                0.44193,                 1.2015,              0.0005744,              0.0005744,              0.0005744
                     38,                0.76253,                0.47532,                 1.1261,                 0.9747,                0.91011,                0.97699,                0.77395,                0.83949,                0.42305,                 1.2208,              0.0005348,              0.0005348,              0.0005348
                     39,                0.76707,                0.48838,                 1.1351,                0.95437,                0.90588,                0.96344,                0.76119,                0.81794,                0.42785,                 1.2232,              0.0004952,              0.0004952,              0.0004952
                     40,                0.73472,                0.47185,                 1.1235,                0.97702,                0.93307,                0.97504,                0.78487,                0.81347,                0.40464,                 1.2081,              0.0004556,              0.0004556,              0.0004556
                     41,                0.66513,                0.39435,                 1.1056,                0.94496,                0.95276,                0.97748,                 0.7751,                0.78981,                0.40113,                  1.203,               0.000416,               0.000416,               0.000416
                     42,                0.67315,                0.39494,                 1.0957,                0.97819,                0.93307,                0.97429,                0.77852,                0.80787,                0.40825,                 1.2186,              0.0003764,              0.0003764,              0.0003764
                     43,                0.66195,                0.39354,                 1.0968,                0.97873,                 0.9252,                0.97469,                0.76972,                0.82303,                0.40218,                 1.2185,              0.0003368,              0.0003368,              0.0003368
                     44,                0.61974,                0.36783,                   1.07,                0.96661,                0.93307,                0.97959,                0.77468,                0.81951,                0.40411,                 1.2405,              0.0002972,              0.0002972,              0.0002972
                     45,                0.61957,                0.36497,                 1.0743,                0.96107,                0.94094,                0.97784,                0.77849,                0.80873,                0.38911,                 1.2074,              0.0002576,              0.0002576,              0.0002576
                     46,                0.61312,                0.35502,                 1.0686,                0.95992,                0.94286,                0.97927,                0.78249,                0.77937,                0.38964,                  1.196,               0.000218,               0.000218,               0.000218
                     47,                0.59347,                0.34368,                 1.0448,                0.97938,                0.93503,                0.97924,                0.78731,                0.79286,                0.37242,                 1.2061,              0.0001784,              0.0001784,              0.0001784
                     48,                0.58312,                 0.3389,                 1.0447,                0.97549,                0.94009,                0.97976,                0.78335,                0.78104,                0.37434,                 1.1939,              0.0001388,              0.0001388,              0.0001388
                     49,                0.56392,                 0.3364,                 1.0385,                0.97425,                0.93307,                0.98061,                0.78618,                0.78798,                0.36517,                  1.217,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.54618,                0.32676,                 1.0235,                  0.964,                0.94886,                0.98088,                0.78269,                0.78635,                0.37244,                 1.2049,               5.96e-05,               5.96e-05,               5.96e-05
