                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2284,                0.78932,                 1.2661,                0.82408,                0.83333,                0.85066,                0.44308,                 1.7933,                0.82146,                 1.6197,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1971,                0.79065,                 1.2755,                0.85505,                   0.75,                 0.8121,                0.42741,                 1.7992,                0.85144,                 1.6067,               0.000614,               0.000614,               0.000614
                     37,                 1.1799,                0.74541,                 1.2325,                0.88376,                 0.7392,                0.85331,                0.42634,                 1.8159,                0.83414,                 1.6373,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1751,                0.75262,                 1.2576,                0.85831,                0.84136,                0.83575,                0.41888,                 1.8082,                 0.8829,                 1.6667,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0919,                0.70363,                 1.1857,                0.87505,                0.81944,                0.84185,                0.42357,                 1.8092,                 0.8194,                 1.6665,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0988,                0.70716,                 1.1943,                0.82905,                0.80556,                0.80696,                0.41654,                 1.7891,                0.81488,                 1.6831,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1149,                0.67068,                 1.2257,                0.79223,                0.80556,                0.80224,                0.43443,                 1.7868,                0.78919,                 1.6508,               0.000416,               0.000416,               0.000416
                     42,                 1.1015,                0.64303,                 1.2163,                0.80915,                0.80556,                0.79694,                0.41355,                 1.8521,                0.76712,                 1.6748,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1094,                0.63799,                 1.2244,                0.84474,                0.79167,                  0.812,                0.42187,                  1.833,                0.81052,                 1.6879,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0545,                 0.5911,                 1.1832,                0.81958,                0.80556,                0.81863,                0.42161,                  1.862,                0.80636,                 1.7426,              0.0002972,              0.0002972,              0.0002972
                     45,                0.99577,                0.58122,                   1.14,                0.80766,                0.77778,                0.79306,                 0.4191,                 1.8388,                0.80102,                 1.7094,              0.0002576,              0.0002576,              0.0002576
                     46,                0.97664,                0.57616,                 1.1521,                0.84497,                0.83273,                0.82614,                0.44386,                 1.7602,                 0.7681,                 1.6862,               0.000218,               0.000218,               0.000218
                     47,                0.97014,                0.54942,                 1.1258,                0.81629,                0.83333,                0.82623,                0.43699,                 1.8136,                 0.7818,                 1.7008,              0.0001784,              0.0001784,              0.0001784
                     48,                0.93497,                0.54322,                 1.1301,                0.86082,                0.77317,                0.82055,                0.43979,                 1.7916,                0.76724,                 1.7225,              0.0001388,              0.0001388,              0.0001388
                     49,                0.91375,                0.52223,                  1.109,                0.84735,                0.79167,                0.82514,                0.44351,                 1.7957,                0.76638,                 1.7169,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.90184,                  0.524,                 1.1082,                0.85681,                0.80556,                0.83367,                0.45064,                 1.7794,                0.75726,                 1.7201,               5.96e-05,               5.96e-05,               5.96e-05
