                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72629,                 0.5103,                 1.0127,                0.96665,                0.91282,                 0.9572,                0.78735,                0.67703,                0.43386,                0.98041,               0.000614,               0.000614,               0.000614
                     37,                  0.715,                0.50362,                 1.0197,                0.97865,                0.91339,                0.96697,                0.79787,                0.68619,                0.43481,                0.99515,              0.0005744,              0.0005744,              0.0005744
                     38,                0.67202,                0.46917,                0.99924,                0.96862,                0.93701,                0.96992,                0.80766,                0.66911,                0.40413,                0.96236,              0.0005348,              0.0005348,              0.0005348
                     39,                0.67718,                0.48542,                0.99805,                0.96141,                0.93701,                0.97082,                0.81144,                 0.6598,                0.40189,                0.96344,              0.0004952,              0.0004952,              0.0004952
                     40,                0.70189,                 0.5047,                 1.0182,                0.97675,                0.92126,                0.96503,                0.80804,                0.66466,                0.40795,                0.96686,              0.0004556,              0.0004556,              0.0004556
                     41,                0.62624,                0.45242,                0.96983,                0.97496,                0.91979,                0.95938,                0.79923,                0.65766,                0.43795,                0.95852,               0.000416,               0.000416,               0.000416
                     42,                0.61933,                0.44301,                0.98188,                0.97686,                0.91339,                0.96735,                0.80658,                0.65952,                0.41514,                0.96246,              0.0003764,              0.0003764,              0.0003764
                     43,                0.63081,                0.44726,                0.99039,                0.96757,                0.93983,                0.97014,                0.80711,                0.63578,                0.39213,                0.94778,              0.0003368,              0.0003368,              0.0003368
                     44,                0.59384,                0.41002,                0.95436,                0.97573,                0.94987,                0.97603,                0.82539,                0.63422,                 0.3771,                0.94929,              0.0002972,              0.0002972,              0.0002972
                     45,                0.59997,                0.40601,                0.95388,                0.97374,                0.94488,                0.97002,                0.82341,                0.63702,                0.38555,                0.95572,              0.0002576,              0.0002576,              0.0002576
                     46,                0.58606,                0.39272,                0.95193,                0.98346,                 0.9362,                0.96496,                0.82013,                0.63396,                0.38582,                0.95686,               0.000218,               0.000218,               0.000218
                     47,                0.58717,                0.39962,                0.95694,                0.99122,                0.94488,                0.96588,                0.81745,                0.64454,                0.39933,                0.96201,              0.0001784,              0.0001784,              0.0001784
                     48,                0.57487,                0.39721,                0.94617,                0.97309,                0.92126,                0.96475,                0.81536,                0.64817,                0.40189,                0.96943,              0.0001388,              0.0001388,              0.0001388
                     49,                0.56395,                0.39625,                0.95922,                0.97033,                0.93701,                0.96425,                0.81674,                0.63976,                0.38995,                0.96811,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.57382,                 0.3883,                0.94398,                0.97541,                0.93686,                0.96383,                0.81971,                0.63812,                0.38405,                0.96511,               5.96e-05,               5.96e-05,               5.96e-05
