                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94502,                  1.805,                 1.1777,                0.94129,                0.90551,                0.95221,                0.78381,                0.64754,                 1.0003,                0.89886,                0.00014,                0.00014,                0.00014
                      2,                0.84206,                0.84572,                 1.0886,                0.66456,                0.82677,                0.84832,                0.66831,                0.79946,                 4.2793,                0.97842,             0.00029406,             0.00029406,             0.00029406
                      3,                0.88756,                0.84004,                 1.1037,                0.79441,                0.79107,                0.84922,                0.67174,                 0.8309,                 1.7815,                 1.0375,             0.00044178,             0.00044178,             0.00044178
                      4,                0.80641,                0.67831,                 1.0378,                 0.4166,                0.82093,                0.61064,                0.45534,                0.86007,                 4.7678,                 1.1019,             0.00058317,             0.00058317,             0.00058317
                      5,                0.80399,                0.63507,                  1.044,                0.13027,                0.69584,                0.12238,                0.07849,                 1.0829,                  7.563,                 1.2745,             0.00071822,             0.00071822,             0.00071822
                      6,                0.88224,                0.74513,                 1.1053,                 0.0697,                0.56693,                0.05576,                0.03479,                 1.2108,                 27.655,                 1.7102,             0.00084694,             0.00084694,             0.00084694
                      7,                0.79911,                0.66657,                 1.0562,                0.14423,                0.79758,                0.13626,                0.08922,                 1.1427,                 19.406,                 1.6263,             0.00096932,             0.00096932,             0.00096932
                      8,                0.83289,                0.69691,                 1.0944,                0.37482,                0.74803,                0.64848,                0.50481,                0.90339,                 2.5417,                 1.1239,              0.0010854,              0.0010854,              0.0010854
                      9,                0.83131,                 0.6785,                 1.0735,                0.52192,                0.70079,                0.61153,                0.44135,                 1.0274,                  2.628,                 1.0929,              0.0011951,              0.0011951,              0.0011951
                     10,                0.87021,                0.65951,                  1.074,                0.83449,                0.74016,                0.76279,                 0.5248,                 1.0692,                 1.4659,                 1.2417,              0.0012984,              0.0012984,              0.0012984
                     11,                 0.8599,                0.66352,                 1.1001,                0.19335,                0.30709,                0.08555,                0.05075,                 2.2321,                 4.0173,                 3.1557,              0.0013955,              0.0013955,              0.0013955
                     12,                0.81546,                0.66101,                 1.0764,                0.33788,                0.48819,                0.30064,                0.18254,                  1.339,                 3.1392,                 1.4414,              0.0014862,              0.0014862,              0.0014862
                     13,                0.82182,                0.62373,                 1.0749,                0.88524,                0.77953,                0.86724,                0.64139,                0.97884,                 1.3831,                 1.2202,              0.0015248,              0.0015248,              0.0015248
                     14,                0.77946,                0.60401,                 1.0637,                0.77708,                0.84252,                0.84852,                0.63309,                0.90925,                 1.5153,                 1.1717,              0.0014852,              0.0014852,              0.0014852
                     15,                0.84888,                0.60697,                 1.0875,                 0.8049,                 0.7874,                0.82537,                0.63324,                0.88608,                   1.37,                  1.112,              0.0014456,              0.0014456,              0.0014456
                     16,                0.76845,                0.56269,                 1.0433,                0.26206,                0.62205,                0.33277,                0.26135,                0.91134,                 2.3626,                 1.1705,               0.001406,               0.001406,               0.001406
                     17,                 0.7544,                0.55781,                 1.0479,                0.41639,                0.72441,                0.40898,                0.30645,                0.85998,                 1.8155,                 1.1334,              0.0013664,              0.0013664,              0.0013664
                     18,                0.76578,                0.55426,                 1.0454,                 0.7598,                0.77165,                0.73912,                0.55773,                0.85616,                 1.0686,                 1.1677,              0.0013268,              0.0013268,              0.0013268
                     19,                0.77627,                  0.559,                   1.03,                0.87129,                0.79957,                0.87416,                0.66217,                0.86737,                0.75996,                 1.1644,              0.0012872,              0.0012872,              0.0012872
                     20,                0.71161,                0.53543,                 1.0162,                0.91131,                0.79528,                0.88303,                0.69214,                0.79563,                0.76599,                 1.0671,              0.0012476,              0.0012476,              0.0012476
                     21,                 0.7173,                0.54664,                 1.0271,                0.93733,                0.85827,                0.95051,                0.74009,                0.79091,                0.73334,                 1.0505,               0.001208,               0.001208,               0.001208
                     22,                0.74211,                0.51877,                 1.0281,                0.87491,                0.82677,                0.90662,                0.68343,                0.82797,                 0.8464,                 1.1287,              0.0011684,              0.0011684,              0.0011684
                     23,                0.71935,                0.51131,                 1.0193,                0.85387,                0.88189,                0.90907,                0.71626,                0.83108,                0.71415,                 1.1039,              0.0011288,              0.0011288,              0.0011288
                     24,                0.66753,                0.48016,                0.96938,                0.98906,                0.83465,                0.91185,                0.72582,                0.77812,                 0.6077,                 1.0782,              0.0010892,              0.0010892,              0.0010892
                     25,                0.69691,                0.51152,                 1.0198,                0.93174,                0.85983,                0.92105,                0.74767,                0.75973,                0.57613,                 1.0139,              0.0010496,              0.0010496,              0.0010496
                     26,                0.69065,                0.48412,                 1.0189,                0.91175,                0.87402,                0.93075,                0.75409,                0.76293,                0.56954,                 1.0448,                0.00101,                0.00101,                0.00101
                     27,                0.64456,                0.46763,                0.99162,                0.94065,                0.87352,                0.94721,                0.74475,                0.81333,                 0.5484,                 1.0713,              0.0009704,              0.0009704,              0.0009704
                     28,                0.67987,                0.47761,                0.99661,                 0.8811,                0.88189,                0.94028,                0.76487,                0.77401,                0.54754,                 1.0487,              0.0009308,              0.0009308,              0.0009308
                     29,                0.61876,                0.44372,                0.97588,                0.95704,                0.90551,                0.95839,                0.76782,                 0.7618,                0.49822,                  1.045,              0.0008912,              0.0008912,              0.0008912
                     30,                0.63071,                0.43795,                0.97508,                0.95191,                0.93513,                0.96664,                0.79026,                0.72984,                0.45464,                 1.0038,              0.0008516,              0.0008516,              0.0008516
                     31,                0.61276,                0.43622,                 0.9641,                0.96062,                0.92913,                0.96305,                0.79858,                 0.6945,                0.45597,                0.96395,               0.000812,               0.000812,               0.000812
                     32,                 0.6165,                0.43907,                0.96299,                0.93637,                0.92695,                0.96256,                0.79734,                0.71765,                 0.4472,                  1.009,              0.0007724,              0.0007724,              0.0007724
                     33,                0.63849,                0.44875,                0.99474,                0.94849,                0.91339,                 0.9571,                0.79489,                0.70981,                0.45387,                0.98894,              0.0007328,              0.0007328,              0.0007328
                     34,                0.60747,                0.43835,                0.98869,                0.95992,                0.88976,                0.96501,                0.81346,                0.66629,                0.43812,                0.95988,              0.0006932,              0.0006932,              0.0006932
                     35,                0.58199,                0.41346,                0.95554,                      1,                0.89686,                 0.9649,                0.81113,                0.68653,                0.42007,                0.97905,              0.0006536,              0.0006536,              0.0006536
                     36,                0.59038,                0.41992,                0.95227,                0.95147,                 0.9262,                0.96674,                0.81471,                0.65047,                0.43907,                0.95377,               0.000614,               0.000614,               0.000614
                     37,                0.58494,                0.41271,                 0.9601,                0.95093,                0.92126,                0.96671,                0.81865,                0.65178,                0.44226,                0.96587,              0.0005744,              0.0005744,              0.0005744
                     38,                0.54967,                 0.3859,                 0.9542,                0.94389,                 0.9273,                 0.9652,                0.82371,                0.67403,                0.43111,                0.97903,              0.0005348,              0.0005348,              0.0005348
                     39,                0.55451,                0.39498,                0.95351,                0.97559,                0.94393,                0.97512,                0.83097,                0.66243,                0.40962,                0.96995,              0.0004952,              0.0004952,              0.0004952
                     40,                0.58493,                0.40514,                 0.9672,                0.95593,                0.94488,                 0.9747,                0.82661,                0.66949,                0.40505,                0.95497,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.4946,                0.36533,                0.90276,                0.96768,                0.94298,                0.97347,                0.81876,                0.64458,                0.39965,                0.94564,               0.000416,               0.000416,               0.000416
                     42,                0.50144,                0.35656,                0.92625,                0.95503,                0.95276,                0.97314,                0.82016,                0.64826,                0.39466,                0.95539,              0.0003764,              0.0003764,              0.0003764
                     43,                0.50043,                0.35297,                0.92378,                0.95579,                0.94488,                0.97235,                0.82432,                0.66174,                0.39302,                0.96438,              0.0003368,              0.0003368,              0.0003368
                     44,                0.46572,                0.32976,                0.90236,                0.97574,                0.96063,                0.97381,                0.82419,                0.64337,                0.39374,                0.94804,              0.0002972,              0.0002972,              0.0002972
                     45,                0.45512,                0.33111,                0.88868,                0.97071,                0.94488,                0.97244,                0.81332,                0.65998,                0.38737,                0.95651,              0.0002576,              0.0002576,              0.0002576
                     46,                0.45755,                 0.3153,                0.88935,                0.95784,                0.94488,                0.97011,                 0.8177,                0.66793,                0.38718,                0.96497,               0.000218,               0.000218,               0.000218
                     47,                0.45375,                0.31691,                0.89797,                0.98325,                0.92462,                0.97137,                0.82716,                0.65075,                 0.3788,                0.95677,              0.0001784,              0.0001784,              0.0001784
                     48,                0.43227,                0.30398,                0.88066,                0.97524,                0.92913,                 0.9701,                0.82189,                0.64938,                0.37469,                0.95828,              0.0001388,              0.0001388,              0.0001388
                     49,                0.44353,                0.31032,                0.90008,                0.96535,                0.94488,                0.96799,                0.82407,                0.64873,                0.36926,                0.95853,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.43626,                0.30169,                0.88031,                0.97543,                0.94488,                0.96821,                0.82277,                0.64443,                0.36749,                0.95996,               5.96e-05,               5.96e-05,               5.96e-05
